FID,the_geom,CATEGORY,NAME
power_towers.159,POINT (25.1062531 31.5282581),Government and Public Services,Power Tower
power_towers.160,POINT (25.1067693 31.5252831),Government and Public Services,Power Tower
power_towers.161,POINT (25.1072752 31.5222934),Government and Public Services,Power Tower
power_towers.162,POINT (25.1078017 31.5193181),Government and Public Services,Power Tower
power_towers.163,POINT (25.108311 31.516334),Government and Public Services,Power Tower
power_towers.164,POINT (25.1088374 31.5133498),Government and Public Services,Power Tower
power_towers.165,POINT (25.1093468 31.5103801),Government and Public Services,Power Tower
power_towers.166,POINT (25.1098493 31.5074016),Government and Public Services,Power Tower
power_towers.167,POINT (25.1103826 31.5043501),Government and Public Services,Power Tower
power_towers.168,POINT (25.1109103 31.5013694),Government and Public Services,Power Tower
power_towers.169,POINT (25.1117679 31.4985318),Government and Public Services,Power Tower
power_towers.170,POINT (25.1126337 31.4956373),Government and Public Services,Power Tower
power_towers.171,POINT (25.1135017 31.4927488),Government and Public Services,Power Tower
power_towers.172,POINT (25.1143682 31.4898646),Government and Public Services,Power Tower
power_towers.173,POINT (25.1152562 31.4869726),Government and Public Services,Power Tower
power_towers.174,POINT (25.1161176 31.4840761),Government and Public Services,Power Tower
power_towers.175,POINT (25.11699 31.4811819),Government and Public Services,Power Tower
power_towers.176,POINT (25.1178569 31.4782875),Government and Public Services,Power Tower
power_towers.177,POINT (25.1187293 31.4754047),Government and Public Services,Power Tower
power_towers.178,POINT (25.1195935 31.4725079),Government and Public Services,Power Tower
power_towers.179,POINT (25.1204686 31.4696109),Government and Public Services,Power Tower
power_towers.180,POINT (25.1213437 31.4667092),Government and Public Services,Power Tower
power_towers.181,POINT (25.1222107 31.4638075),Government and Public Services,Power Tower
power_towers.182,POINT (25.1230858 31.4609102),Government and Public Services,Power Tower
power_towers.183,POINT (25.1239636 31.4580013),Government and Public Services,Power Tower
power_towers.184,POINT (25.1248388 31.4551132),Government and Public Services,Power Tower
power_towers.185,POINT (25.1257029 31.4521924),Government and Public Services,Power Tower
power_towers.186,POINT (25.1265766 31.4493027),Government and Public Services,Power Tower
power_towers.187,POINT (25.1274382 31.4464213),Government and Public Services,Power Tower
power_towers.188,POINT (25.1283409 31.443514),Government and Public Services,Power Tower
power_towers.189,POINT (25.1306501 31.4419953),Government and Public Services,Power Tower
power_towers.190,POINT (25.132978 31.4404642),Government and Public Services,Power Tower
power_towers.191,POINT (25.1353265 31.4389563),Government and Public Services,Power Tower
power_towers.192,POINT (25.1386302 31.4390791),Government and Public Services,Power Tower
power_towers.193,POINT (25.1419119 31.4391987),Government and Public Services,Power Tower
power_towers.194,POINT (25.14518 31.4393329),Government and Public Services,Power Tower
power_towers.195,POINT (25.1484651 31.4394816),Government and Public Services,Power Tower
power_towers.196,POINT (25.1517502 31.43961),Government and Public Services,Power Tower
power_towers.197,POINT (25.1534696 31.5541242),Government and Public Services,Power Tower
power_towers.198,POINT (25.1534839 31.5437974),Government and Public Services,Power Tower
power_towers.199,POINT (25.1535383 31.5525071),Government and Public Services,Power Tower
power_towers.200,POINT (25.1535575 31.5444872),Government and Public Services,Power Tower
power_towers.201,POINT (25.1536227 31.5520687),Government and Public Services,Power Tower
power_towers.202,POINT (25.1536385 31.5450785),Government and Public Services,Power Tower
power_towers.203,POINT (25.1536997 31.5440282),Government and Public Services,Power Tower
power_towers.204,POINT (25.1537253 31.5458047),Government and Public Services,Power Tower
power_towers.205,POINT (25.1537479 31.5515144),Government and Public Services,Power Tower
power_towers.206,POINT (25.1537617 31.544662),Government and Public Services,Power Tower
power_towers.207,POINT (25.1538089 31.5464886),Government and Public Services,Power Tower
power_towers.208,POINT (25.1538353 31.5452924),Government and Public Services,Power Tower
power_towers.209,POINT (25.1538637 31.5508875),Government and Public Services,Power Tower
power_towers.210,POINT (25.1538856 31.5459492),Government and Public Services,Power Tower
power_towers.211,POINT (25.1538934 31.5471596),Government and Public Services,Power Tower
power_towers.212,POINT (25.1539399 31.5465533),Government and Public Services,Power Tower
power_towers.213,POINT (25.1539829 31.5478476),Government and Public Services,Power Tower
power_towers.214,POINT (25.1540018 31.5502141),Government and Public Services,Power Tower
power_towers.215,POINT (25.1540571 31.5431009),Government and Public Services,Power Tower
power_towers.216,POINT (25.1540885 31.5486756),Government and Public Services,Power Tower
power_towers.217,POINT (25.1541064 31.5435265),Government and Public Services,Power Tower
power_towers.218,POINT (25.1541639 31.5494283),Government and Public Services,Power Tower
power_towers.219,POINT (25.1542215 31.5543127),Government and Public Services,Power Tower
power_towers.220,POINT (25.1545479 31.5429852),Government and Public Services,Power Tower
power_towers.221,POINT (25.1546497 31.5423846),Government and Public Services,Power Tower
power_towers.222,POINT (25.1549701 31.542457),Government and Public Services,Power Tower
power_towers.223,POINT (25.1550353 31.4397354),Government and Public Services,Power Tower
power_towers.224,POINT (25.1552074 31.5417014),Government and Public Services,Power Tower
power_towers.225,POINT (25.1554133 31.5418835),Government and Public Services,Power Tower
power_towers.226,POINT (25.1555496 31.5417145),Government and Public Services,Power Tower
power_towers.227,POINT (25.1557303 31.5410643),Government and Public Services,Power Tower
power_towers.228,POINT (25.155849 31.5413401),Government and Public Services,Power Tower
power_towers.229,POINT (25.1563848 31.5402754),Government and Public Services,Power Tower
power_towers.230,POINT (25.1563912 31.5406614),Government and Public Services,Power Tower
power_towers.231,POINT (25.1569211 31.539996),Government and Public Services,Power Tower
power_towers.232,POINT (25.1569387 31.5395888),Government and Public Services,Power Tower
power_towers.233,POINT (25.1574075 31.5393754),Government and Public Services,Power Tower
power_towers.234,POINT (25.15757 31.5388164),Government and Public Services,Power Tower
power_towers.235,POINT (25.1578661 31.5388024),Government and Public Services,Power Tower
power_towers.236,POINT (25.158241 31.5383402),Government and Public Services,Power Tower
power_towers.237,POINT (25.1583102 31.4398841),Government and Public Services,Power Tower
power_towers.238,POINT (25.1583523 31.5378657),Government and Public Services,Power Tower
power_towers.239,POINT (25.1587058 31.5377381),Government and Public Services,Power Tower
power_towers.240,POINT (25.1588558 31.5372385),Government and Public Services,Power Tower
power_towers.241,POINT (25.159155 31.5371651),Government and Public Services,Power Tower
power_towers.242,POINT (25.1593593 31.5366245),Government and Public Services,Power Tower
power_towers.243,POINT (25.1596136 31.5366026),Government and Public Services,Power Tower
power_towers.244,POINT (25.1598861 31.5359841),Government and Public Services,Power Tower
power_towers.245,POINT (25.1600474 31.5360639),Government and Public Services,Power Tower
power_towers.246,POINT (25.1603973 31.535347),Government and Public Services,Power Tower
power_towers.247,POINT (25.1606144 31.5353429),Government and Public Services,Power Tower
power_towers.248,POINT (25.1608505 31.5348056),Government and Public Services,Power Tower
power_towers.249,POINT (25.1611225 31.534688),Government and Public Services,Power Tower
power_towers.250,POINT (25.1613385 31.534218),Government and Public Services,Power Tower
power_towers.251,POINT (25.1615532 31.5341281),Government and Public Services,Power Tower
power_towers.252,POINT (25.1616193 31.439992),Government and Public Services,Power Tower
power_towers.253,POINT (25.1618768 31.5335611),Government and Public Services,Power Tower
power_towers.254,POINT (25.1620676 31.5335313),Government and Public Services,Power Tower
power_towers.255,POINT (25.1623842 31.5329471),Government and Public Services,Power Tower
power_towers.256,POINT (25.1625199 31.533011),Government and Public Services,Power Tower
power_towers.257,POINT (25.1628916 31.5323397),Government and Public Services,Power Tower
power_towers.258,POINT (25.1630684 31.5323983),Government and Public Services,Power Tower
power_towers.259,POINT (25.1633641 31.5317653),Government and Public Services,Power Tower
power_towers.260,POINT (25.1635889 31.5317988),Government and Public Services,Power Tower
power_towers.261,POINT (25.1638521 31.5311711),Government and Public Services,Power Tower
power_towers.262,POINT (25.1640258 31.5312944),Government and Public Services,Power Tower
power_towers.263,POINT (25.1641736 31.5333798),Government and Public Services,Power Tower
power_towers.264,POINT (25.1642666 31.5327592),Government and Public Services,Power Tower
power_towers.265,POINT (25.1642777 31.5341757),Government and Public Services,Power Tower
power_towers.266,POINT (25.1643556 31.5305603),Government and Public Services,Power Tower
power_towers.267,POINT (25.1643634 31.5320891),Government and Public Services,Power Tower
power_towers.268,POINT (25.164468 31.5314784),Government and Public Services,Power Tower
power_towers.269,POINT (25.1645215 31.5307371),Government and Public Services,Power Tower
power_towers.270,POINT (25.1645729 31.5307749),Government and Public Services,Power Tower
power_towers.271,POINT (25.1648513 31.5299694),Government and Public Services,Power Tower
power_towers.272,POINT (25.1649133 31.4401275),Government and Public Services,Power Tower
power_towers.273,POINT (25.1649553 31.5302433),Government and Public Services,Power Tower
power_towers.274,POINT (25.1650135 31.5302838),Government and Public Services,Power Tower
power_towers.275,POINT (25.1654139 31.529723),Government and Public Services,Power Tower
power_towers.276,POINT (25.1654879 31.5297639),Government and Public Services,Power Tower
power_towers.277,POINT (25.1656066 31.5294643),Government and Public Services,Power Tower
power_towers.278,POINT (25.166046 31.529311),Government and Public Services,Power Tower
power_towers.279,POINT (25.1660883 31.5293801),Government and Public Services,Power Tower
power_towers.280,POINT (25.1663192 31.529022),Government and Public Services,Power Tower
power_towers.281,POINT (25.1666099 31.5289597),Government and Public Services,Power Tower
power_towers.282,POINT (25.1666644 31.5290252),Government and Public Services,Power Tower
power_towers.283,POINT (25.1669893 31.5285829),Government and Public Services,Power Tower
power_towers.284,POINT (25.1673101 31.528516),Government and Public Services,Power Tower
power_towers.285,POINT (25.1673518 31.5285919),Government and Public Services,Power Tower
power_towers.286,POINT (25.1676438 31.5281669),Government and Public Services,Power Tower
power_towers.287,POINT (25.1680135 31.5280697),Government and Public Services,Power Tower
power_towers.288,POINT (25.1680732 31.528138),Government and Public Services,Power Tower
power_towers.289,POINT (25.1682293 31.4402684),Government and Public Services,Power Tower
power_towers.290,POINT (25.1683216 31.5277377),Government and Public Services,Power Tower
power_towers.291,POINT (25.1686394 31.5276735),Government and Public Services,Power Tower
power_towers.292,POINT (25.1686687 31.5277666),Government and Public Services,Power Tower
power_towers.293,POINT (25.169011 31.5272954),Government and Public Services,Power Tower
power_towers.294,POINT (25.1692715 31.5272747),Government and Public Services,Power Tower
